Date,Value,quarter,month,weekofyear,year
2000-01-03,39.16,1,1,1,2000
2000-01-04,38.41,1,1,1,2000
2000-01-05,40.5,1,1,1,2000
2000-01-06,42.59,1,1,1,2000
2000-01-07,42.47,1,1,1,2000
2000-01-08,42.47,1,1,1,2000
2000-01-09,42.47,1,1,1,2000
2000-01-10,41.88,1,1,2,2000
2000-01-11,42.0,1,1,2,2000
2000-01-12,41.75,1,1,2,2000
2000-01-13,42.72,1,1,2,2000
2000-01-14,41.88,1,1,2,2000
2000-01-15,41.88,1,1,2,2000
2000-01-16,41.88,1,1,2,2000
2000-01-17,41.88,1,1,3,2000
2000-01-18,42.38,1,1,3,2000
2000-01-19,42.78,1,1,3,2000
2000-01-20,41.84,1,1,3,2000
2000-01-21,42.5,1,1,3,2000
2000-01-22,42.5,1,1,3,2000
2000-01-23,42.5,1,1,3,2000
2000-01-24,42.12,1,1,4,2000
2000-01-25,42.03,1,1,4,2000
2000-01-26,41.75,1,1,4,2000
2000-01-27,40.5,1,1,4,2000
2000-01-28,39.44,1,1,4,2000
2000-01-29,39.44,1,1,4,2000
2000-01-30,39.44,1,1,4,2000
2000-01-31,41.44,1,1,5,2000
2000-02-01,41.59,1,2,5,2000
2000-02-02,41.91,1,2,5,2000
2000-02-03,41.19,1,2,5,2000
2000-02-04,40.44,1,2,5,2000
2000-02-05,40.44,1,2,5,2000
2000-02-06,40.44,1,2,5,2000
2000-02-07,40.38,1,2,6,2000
2000-02-08,39.47,1,2,6,2000
2000-02-09,38.12,1,2,6,2000
2000-02-10,37.94,1,2,6,2000
2000-02-11,36.94,1,2,6,2000
2000-02-12,36.94,1,2,6,2000
2000-02-13,36.94,1,2,6,2000
2000-02-14,38.22,1,2,7,2000
2000-02-15,39.66,1,2,7,2000
2000-02-16,40.0,1,2,7,2000
2000-02-17,38.94,1,2,7,2000
2000-02-18,37.5,1,2,7,2000
2000-02-19,37.5,1,2,7,2000
2000-02-20,37.5,1,2,7,2000
2000-02-21,37.5,1,2,8,2000
2000-02-22,37.72,1,2,8,2000
2000-02-23,37.31,1,2,8,2000
2000-02-24,36.41,1,2,8,2000
2000-02-25,35.53,1,2,8,2000
2000-02-26,35.53,1,2,8,2000
2000-02-27,35.53,1,2,8,2000
2000-02-28,36.75,1,2,9,2000
2000-02-29,37.66,1,2,9,2000
2000-03-01,38.03,1,3,9,2000
2000-03-02,38.5,1,3,9,2000
2000-03-03,37.84,1,3,9,2000
2000-03-04,37.84,1,3,9,2000
2000-03-05,37.84,1,3,9,2000
2000-03-06,36.47,1,3,10,2000
2000-03-07,40.0,1,3,10,2000
2000-03-08,39.81,1,3,10,2000
2000-03-09,40.22,1,3,10,2000
2000-03-10,38.52,1,3,10,2000
2000-03-11,38.52,1,3,10,2000
2000-03-12,38.52,1,3,10,2000
2000-03-13,37.94,1,3,11,2000
2000-03-14,38.62,1,3,11,2000
2000-03-15,38.88,1,3,11,2000
2000-03-16,39.88,1,3,11,2000
2000-03-17,38.56,1,3,11,2000
2000-03-18,38.56,1,3,11,2000
2000-03-19,38.56,1,3,11,2000
2000-03-20,37.44,1,3,12,2000
2000-03-21,38.5,1,3,12,2000
2000-03-22,37.47,1,3,12,2000
2000-03-23,37.75,1,3,12,2000
2000-03-24,38.62,1,3,12,2000
2000-03-25,38.62,1,3,12,2000
2000-03-26,38.62,1,3,12,2000
2000-03-27,38.25,1,3,13,2000
2000-03-28,39.5,1,3,13,2000
2000-03-29,40.25,1,3,13,2000
2000-03-30,39.31,1,3,13,2000
2000-03-31,39.0,1,3,13,2000
2000-04-01,39.0,2,4,13,2000
2000-04-02,39.0,2,4,13,2000
2000-04-03,40.25,2,4,14,2000
2000-04-04,41.25,2,4,14,2000
2000-04-05,39.88,2,4,14,2000
2000-04-06,40.88,2,4,14,2000
2000-04-07,39.78,2,4,14,2000
2000-04-08,39.78,2,4,14,2000
2000-04-09,39.78,2,4,14,2000
2000-04-10,39.12,2,4,15,2000
2000-04-11,39.69,2,4,15,2000
2000-04-12,39.97,2,4,15,2000
2000-04-13,40.0,2,4,15,2000
2000-04-14,39.38,2,4,15,2000
2000-04-15,39.38,2,4,15,2000
2000-04-16,39.38,2,4,15,2000
2000-04-17,37.75,2,4,16,2000
2000-04-18,38.09,2,4,16,2000
2000-04-19,38.72,2,4,16,2000
2000-04-20,39.5,2,4,16,2000
2000-04-21,39.5,2,4,16,2000
2000-04-22,39.5,2,4,16,2000
2000-04-23,39.5,2,4,16,2000
2000-04-24,39.94,2,4,17,2000
2000-04-25,40.5,2,4,17,2000
2000-04-26,40.06,2,4,17,2000
2000-04-27,40.34,2,4,17,2000
2000-04-28,38.84,2,4,17,2000
2000-04-29,38.84,2,4,17,2000
2000-04-30,38.84,2,4,17,2000
2000-05-01,39.0,2,5,18,2000
2000-05-02,39.12,2,5,18,2000
2000-05-03,38.75,2,5,18,2000
2000-05-04,39.75,2,5,18,2000
2000-05-05,40.0,2,5,18,2000
2000-05-06,40.0,2,5,18,2000
2000-05-07,40.0,2,5,18,2000
2000-05-08,40.22,2,5,19,2000
2000-05-09,39.72,2,5,19,2000
2000-05-10,40.75,2,5,19,2000
2000-05-11,41.47,2,5,19,2000
2000-05-12,41.01,2,5,19,2000
2000-05-13,41.01,2,5,19,2000
2000-05-14,41.01,2,5,19,2000
2000-05-15,41.81,2,5,20,2000
